2016-05-07 00:30:31 upgrade dpkg:amd64 1.18.4ubuntu1 1.18.4ubuntu1
2016-05-07 00:30:31 status half-configured dpkg:amd64 1.18.4ubuntu1
2016-05-07 00:30:31 status unpacked dpkg:amd64 1.18.4ubuntu1
2016-05-07 00:30:31 status half-installed dpkg:amd64 1.18.4ubuntu1
2016-05-07 00:30:31 status half-installed dpkg:amd64 1.18.4ubuntu1
2016-05-07 00:30:31 status unpacked dpkg:amd64 1.18.4ubuntu1
2016-05-07 00:30:31 status unpacked dpkg:amd64 1.18.4ubuntu1
2016-05-07 00:30:31 install e2fslibs:amd64 <none> 1.42.13-1ubuntu1
2016-05-07 00:30:31 status half-installed e2fslibs:amd64 1.42.13-1ubuntu1
2016-05-07 00:30:31 status unpacked e2fslibs:amd64 1.42.13-1ubuntu1
2016-05-07 00:30:31 status unpacked e2fslibs:amd64 1.42.13-1ubuntu1
2016-05-07 00:30:31 install e2fsprogs:amd64 <none> 1.42.13-1ubuntu1
2016-05-07 00:30:31 status half-installed e2fsprogs:amd64 1.42.13-1ubuntu1
2016-05-07 00:30:32 status unpacked e2fsprogs:amd64 1.42.13-1ubuntu1
2016-05-07 00:30:32 status unpacked e2fsprogs:amd64 1.42.13-1ubuntu1
2016-05-07 00:30:32 install findutils:amd64 <none> 4.6.0+git+20160126-2
2016-05-07 00:30:32 status half-installed findutils:amd64 4.6.0+git+20160126-2
2016-05-07 00:30:32 status unpacked findutils:amd64 4.6.0+git+20160126-2
2016-05-07 00:30:32 status unpacked findutils:amd64 4.6.0+git+20160126-2
2016-05-07 00:30:32 install gcc-6-base:amd64 <none> 6.0.1-0ubuntu1
2016-05-07 00:30:32 status half-installed gcc-6-base:amd64 6.0.1-0ubuntu1
2016-05-07 00:30:32 status unpacked gcc-6-base:amd64 6.0.1-0ubuntu1
2016-05-07 00:30:32 status unpacked gcc-6-base:amd64 6.0.1-0ubuntu1
2016-05-07 00:30:32 install grep:amd64 <none> 2.24-1
2016-05-07 00:30:32 status half-installed grep:amd64 2.24-1
2016-05-07 00:30:32 status unpacked grep:amd64 2.24-1
2016-05-07 00:30:32 status unpacked grep:amd64 2.24-1
2016-05-07 00:30:32 install gzip:amd64 <none> 1.6-4ubuntu1
2016-05-07 00:30:32 status half-installed gzip:amd64 1.6-4ubuntu1
2016-05-07 00:30:32 status unpacked gzip:amd64 1.6-4ubuntu1
2016-05-07 00:30:32 status unpacked gzip:amd64 1.6-4ubuntu1
2016-05-07 00:30:32 install hostname:amd64 <none> 3.16ubuntu2
2016-05-07 00:30:32 status half-installed hostname:amd64 3.16ubuntu2
2016-05-07 00:30:32 status unpacked hostname:amd64 3.16ubuntu2
2016-05-07 00:30:32 status unpacked hostname:amd64 3.16ubuntu2
2016-05-07 00:30:32 install init:amd64 <none> 1.29ubuntu1
2016-05-07 00:30:32 status half-installed init:amd64 1.29ubuntu1
2016-05-07 00:30:32 status unpacked init:amd64 1.29ubuntu1
2016-05-07 00:30:32 status unpacked init:amd64 1.29ubuntu1
2016-05-07 00:30:32 install init-system-helpers:all <none> 1.29ubuntu1
2016-05-07 00:30:32 status half-installed init-system-helpers:all 1.29ubuntu1
2016-05-07 00:30:32 status unpacked init-system-helpers:all 1.29ubuntu1
2016-05-07 00:30:32 status unpacked init-system-helpers:all 1.29ubuntu1
2016-05-07 00:30:32 install initscripts:amd64 <none> 2.88dsf-59.3ubuntu2
2016-05-07 00:30:32 status half-installed initscripts:amd64 2.88dsf-59.3ubuntu2
2016-05-07 00:30:32 status unpacked initscripts:amd64 2.88dsf-59.3ubuntu2
2016-05-07 00:30:32 status unpacked initscripts:amd64 2.88dsf-59.3ubuntu2
2016-05-07 00:30:33 install insserv:amd64 <none> 1.14.0-5ubuntu3
2016-05-07 00:30:33 status half-installed insserv:amd64 1.14.0-5ubuntu3
2016-05-07 00:30:33 status unpacked insserv:amd64 1.14.0-5ubuntu3
2016-05-07 00:30:33 status unpacked insserv:amd64 1.14.0-5ubuntu3
2016-05-07 00:30:33 install libacl1:amd64 <none> 2.2.52-3
2016-05-07 00:30:33 status half-installed libacl1:amd64 2.2.52-3
